Labels	APTMS_500kHz_0	
Type	Time Scan	
Comment		
Start	0.00	
Stop	1999.511700	
Step	0.48828125	
Fixed/Offset	 	
XAxis	Time(ns)	
YAxis	Counts	

0.00	0.00000000E+0	
0.48828125	0.00000000E+0	
0.97656250	0.00000000E+0	
1.4648438	0.00000000E+0	
1.9531250	0.00000000E+0	
2.4414063	0.00000000E+0	
2.9296875	0.00000000E+0	
3.4179688	0.00000000E+0	
3.906250	0.00000000E+0	
4.3945313	0.00000000E+0	
4.8828125	0.00000000E+0	
5.3710938	0.00000000E+0	
5.8593750	0.00000000E+0	
6.3476563	0.00000000E+0	
6.8359375	0.00000000E+0	
7.3242188	0.00000000E+0	
7.81250	0.00000000E+0	
8.3007813	0.00000000E+0	
8.7890625	0.00000000E+0	
9.2773438	0.00000000E+0	
9.7656250	0.00000000E+0	
10.253906	0.00000000E+0	
10.742188	0.00000000E+0	
11.230469	0.00000000E+0	
11.718750	0.00000000E+0	
12.207031	0.00000000E+0	
12.695313	0.00000000E+0	
13.183594	0.00000000E+0	
13.671875	0.00000000E+0	
14.160156	0.00000000E+0	
14.648438	0.00000000E+0	
15.136719	0.00000000E+0	
15.6250	0.00000000E+0	
16.113281	0.00000000E+0	
16.601563	0.00000000E+0	
17.089844	0.00000000E+0	
17.578125	0.00000000E+0	
18.066406	0.00000000E+0	
18.554688	0.00000000E+0	
19.042969	0.00000000E+0	
19.531250	0.00000000E+0	
20.019531	0.00000000E+0	
20.507813	0.00000000E+0	
20.996094	0.00000000E+0	
21.484375	0.00000000E+0	
21.972656	0.00000000E+0	
22.460938	0.00000000E+0	
22.949219	0.00000000E+0	
23.43750	0.00000000E+0	
23.925781	0.00000000E+0	
24.414063	0.00000000E+0	
24.902344	0.00000000E+0	
25.390625	0.00000000E+0	
25.878906	0.00000000E+0	
26.367188	0.00000000E+0	
26.855469	0.00000000E+0	
27.343750	0.00000000E+0	
27.832031	0.00000000E+0	
28.320313	0.00000000E+0	
28.808594	0.00000000E+0	
29.296875	0.00000000E+0	
29.785156	0.00000000E+0	
30.273438	0.00000000E+0	
30.761719	0.00000000E+0	
31.250	0.00000000E+0	
31.738281	0.00000000E+0	
32.226563	0.00000000E+0	
32.714844	0.00000000E+0	
33.203125	0.00000000E+0	
33.691406	0.00000000E+0	
34.179688	0.00000000E+0	
34.667969	0.00000000E+0	
35.156250	0.00000000E+0	
35.644531	0.00000000E+0	
36.132813	0.00000000E+0	
36.621094	0.00000000E+0	
37.109375	0.00000000E+0	
37.597656	0.00000000E+0	
38.085938	0.00000000E+0	
38.574219	0.00000000E+0	
39.06250	0.00000000E+0	
39.550781	0.00000000E+0	
40.039063	0.00000000E+0	
40.527344	0.00000000E+0	
41.015625	0.00000000E+0	
41.503906	9.00000000E+0	
41.992188	3.30000000E+1	
42.480469	3.60000000E+1	
42.968750	3.60000000E+1	
43.457031	2.10000000E+1	
43.945313	2.90000000E+1	
44.433594	3.50000000E+1	
44.921875	3.70000000E+1	
45.410156	2.20000000E+1	
45.898438	3.40000000E+1	
46.386719	2.30000000E+1	
46.8750	2.30000000E+1	
47.363281	2.30000000E+1	
47.851563	2.10000000E+1	
48.339844	2.80000000E+1	
48.828125	2.30000000E+1	
49.316406	1.80000000E+1	
49.804688	2.50000000E+1	
50.292969	2.40000000E+1	
50.781250	2.20000000E+1	
51.269531	2.40000000E+1	
51.757813	3.10000000E+1	
52.246094	3.30000000E+1	
52.734375	2.10000000E+1	
53.222656	2.60000000E+1	
53.710938	2.50000000E+1	
54.199219	3.50000000E+1	
54.68750	2.40000000E+1	
55.175781	2.40000000E+1	
55.664063	2.10000000E+1	
56.152344	1.70000000E+1	
56.640625	3.20000000E+1	
57.128906	2.50000000E+1	
57.617188	1.90000000E+1	
58.105469	3.20000000E+1	
58.593750	2.60000000E+1	
59.082031	2.90000000E+1	
59.570313	2.70000000E+1	
60.058594	2.00000000E+1	
60.546875	2.70000000E+1	
61.035156	4.50000000E+1	
61.523438	8.70000000E+1	
62.011719	1.67000000E+2	
62.50	2.28000000E+2	
62.988281	2.58000000E+2	
63.476563	2.80000000E+2	
63.964844	2.57000000E+2	
64.453125	2.64000000E+2	
64.941406	2.35000000E+2	
65.429688	2.47000000E+2	
65.917969	2.42000000E+2	
66.406250	2.33000000E+2	
66.894531	2.32000000E+2	
67.382813	2.42000000E+2	
67.871094	2.25000000E+2	
68.359375	2.32000000E+2	
68.847656	2.06000000E+2	
69.335938	2.24000000E+2	
69.824219	2.61000000E+2	
70.31250	2.15000000E+2	
70.800781	2.03000000E+2	
71.289063	2.10000000E+2	
71.777344	2.08000000E+2	
72.265625	2.13000000E+2	
72.753906	2.16000000E+2	
73.242188	1.85000000E+2	
73.730469	1.81000000E+2	
74.218750	1.92000000E+2	
74.707031	1.88000000E+2	
75.195313	2.08000000E+2	
75.683594	2.01000000E+2	
76.171875	2.42000000E+2	
76.660156	1.94000000E+2	
77.148438	1.95000000E+2	
77.636719	1.87000000E+2	
78.1250	1.87000000E+2	
78.613281	2.06000000E+2	
79.101563	1.93000000E+2	
79.589844	2.04000000E+2	
80.078125	1.89000000E+2	
80.566406	1.89000000E+2	
81.054688	1.75000000E+2	
81.542969	1.72000000E+2	
82.031250	1.83000000E+2	
82.519531	1.92000000E+2	
83.007813	1.80000000E+2	
83.496094	1.71000000E+2	
83.984375	2.28000000E+2	
84.472656	1.97000000E+2	
84.960938	1.87000000E+2	
85.449219	1.63000000E+2	
85.93750	1.69000000E+2	
86.425781	1.66000000E+2	
86.914063	1.76000000E+2	
87.402344	1.61000000E+2	
87.890625	1.63000000E+2	
88.378906	2.03000000E+2	
88.867188	1.95000000E+2	
89.355469	1.92000000E+2	
89.843750	1.46000000E+2	
90.332031	1.93000000E+2	
90.820313	1.93000000E+2	
91.308594	1.62000000E+2	
91.796875	1.84000000E+2	
92.285156	1.65000000E+2	
92.773438	1.66000000E+2	
93.261719	1.88000000E+2	
93.750	1.59000000E+2	
94.238281	1.85000000E+2	
94.726563	1.99000000E+2	
95.214844	1.69000000E+2	
95.703125	1.72000000E+2	
96.191406	1.74000000E+2	
96.679688	1.67000000E+2	
97.167969	1.53000000E+2	
97.656250	1.66000000E+2	
98.144531	1.65000000E+2	
98.632813	1.69000000E+2	
99.121094	1.76000000E+2	
99.609375	1.84000000E+2	
100.097660	1.66000000E+2	
100.585940	1.55000000E+2	
101.074220	1.77000000E+2	
101.562500	1.59000000E+2	
102.050780	1.49000000E+2	
102.539060	1.80000000E+2	
103.027340	1.69000000E+2	
103.515630	1.61000000E+2	
104.003910	1.68000000E+2	
104.492190	1.60000000E+2	
104.980470	1.79000000E+2	
105.468750	1.61000000E+2	
105.95700	1.84000000E+2	
106.445310	1.79000000E+2	
106.933590	1.54000000E+2	
107.421880	1.49000000E+2	
107.910160	1.43000000E+2	
108.398440	1.56000000E+2	
108.886720	1.55000000E+2	
109.37500	1.50000000E+2	
109.863280	1.65000000E+2	
110.351560	1.48000000E+2	
110.839840	1.75000000E+2	
111.328130	1.52000000E+2	
111.816410	1.78000000E+2	
112.304690	1.40000000E+2	
112.79300	1.60000000E+2	
113.281250	1.52000000E+2	
113.769530	1.71000000E+2	
114.257810	1.43000000E+2	
114.746090	1.43000000E+2	
115.234380	1.63000000E+2	
115.722660	1.50000000E+2	
116.210940	1.54000000E+2	
116.699220	1.43000000E+2	
117.187500	1.32000000E+2	
117.675780	1.65000000E+2	
118.164060	1.48000000E+2	
118.652340	1.65000000E+2	
119.140630	1.41000000E+2	
119.628910	1.58000000E+2	
120.117190	1.46000000E+2	
120.605470	1.69000000E+2	
121.093750	1.50000000E+2	
121.58200	1.52000000E+2	
122.070310	1.62000000E+2	
122.558590	1.40000000E+2	
123.046880	1.61000000E+2	
123.535160	1.73000000E+2	
124.023440	1.59000000E+2	
124.511720	1.47000000E+2	
125.00	1.69000000E+2	
125.488280	1.30000000E+2	
125.976560	1.62000000E+2	
126.464840	1.57000000E+2	
126.953130	1.52000000E+2	
127.441410	1.63000000E+2	
127.929690	1.41000000E+2	
128.41800	1.54000000E+2	
128.906250	1.44000000E+2	
129.394530	1.37000000E+2	
129.882810	1.50000000E+2	
130.371090	1.77000000E+2	
130.859380	1.39000000E+2	
131.347660	1.43000000E+2	
131.835940	1.41000000E+2	
132.324220	1.73000000E+2	
132.812500	1.46000000E+2	
133.300780	1.62000000E+2	
133.789060	1.33000000E+2	
134.277340	1.52000000E+2	
134.765630	1.53000000E+2	
135.253910	1.26000000E+2	
135.742190	1.62000000E+2	
136.230470	1.31000000E+2	
136.718750	1.20000000E+2	
137.20700	1.57000000E+2	
137.695310	1.53000000E+2	
138.183590	1.46000000E+2	
138.671880	1.32000000E+2	
139.160160	1.42000000E+2	
139.648440	1.51000000E+2	
140.136720	1.36000000E+2	
140.62500	1.48000000E+2	
141.113280	1.43000000E+2	
141.601560	1.36000000E+2	
142.089840	1.47000000E+2	
142.578130	1.36000000E+2	
143.066410	1.64000000E+2	
143.554690	1.31000000E+2	
144.04300	1.37000000E+2	
144.531250	1.19000000E+2	
145.019530	1.44000000E+2	
145.507810	1.67000000E+2	
145.996090	1.22000000E+2	
146.484380	1.27000000E+2	
146.972660	1.71000000E+2	
147.460940	1.24000000E+2	
147.949220	1.35000000E+2	
148.437500	1.39000000E+2	
148.925780	1.47000000E+2	
